"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"repD",584.329513650095,-0.676316446372355,0.191326831420561,-3.53487506875459,0.000407967993622392,0.000628736733636833
"rph",6231.34451698441,-0.676199598655668,0.0988673946001922,-6.83946008074894,7.94922052193073e-12,1.78493075753367e-11
"purR_2",5743.16385962181,-0.673508707891429,0.103419478678511,-6.51239705031869,7.39609039300997e-11,1.59331203053747e-10
"dnaX_1",5359.14842530918,-0.672219887025139,0.108341911683434,-6.2046153384233,5.48308483875332e-10,1.13659779469991e-09
"cshB",17804.2970918467,-0.671798861311934,0.0900841005748509,-7.45746315970303,8.82042140254681e-14,2.10842505598416e-13
"hcf136",1030.28299678117,-0.668600340292461,0.154852275898814,-4.31766557134328,1.57688112630978e-05,2.67632702887544e-05
"pgl_1",41.6094170838667,-0.666116732512549,0.655849190038756,-1.01565534063279,0.309793541746993,0.359731085675575
"mvaA",12048.3672178949,-0.663067252789502,0.102768987854207,-6.45201696186945,1.10371222022906e-10,2.34907734572816e-10
"potA_1",2025.62632649985,-0.660698484100327,0.157509332293299,-4.19466246526927,2.73278221659667e-05,4.55559087834754e-05
"iap_1",11.9564229214121,-0.658939282849751,1.18719629465264,-0.555038190245149,0.578868538763512,0.63244890114613
"murR_1",487.237021629802,-0.658696809294096,0.202639816325677,-3.25057938384359,0.00115170110184703,0.0017087680840079
"glpE_2",2749.9216762903,-0.651070193832309,0.129510466692544,-5.0271627495401,4.97789866771561e-07,9.10898238965892e-07
"mhqD",64.6430958295515,-0.65052548316895,0.50349664001115,-1.29201553987439,0.19635176304424,0.237712552674091
"zwf",7617.62806856032,-0.644289432231076,0.0963741631618193,-6.68529210623875,2.30464477558433e-11,5.04675994873488e-11
"fni",7216.1754300648,-0.643746536617699,0.098853293802936,-6.51214048467629,7.4087377948064e-11,1.59387980666646e-10
"topB_4",165.745356730272,-0.637269083890414,0.323156555834167,-1.97201347887072,0.0486080678357911,0.0631706481588404
"hin",9691.27420441089,-0.634189578742831,0.104445311779338,-6.07197745823847,1.26344671433028e-09,2.59536408930815e-09
"czrA",694.843019523524,-0.630214458024644,0.179926520629186,-3.50262126906497,0.000460704013803403,0.000706590356430652
"gnd",32217.9081320465,-0.626846577840742,0.0905069272376695,-6.9259513826456,4.3305517944007e-12,9.82085250240159e-12
"icaR",1180.85281590326,-0.619375107400468,0.146882392847934,-4.21680975773389,2.4778284348914e-05,4.14795254295175e-05
"gyrB",26466.9710190491,-0.617142937385496,0.0918156014214329,-6.72154762187762,1.79804450304715e-11,3.9537111171976e-11
"lipL",452.950314685251,-0.615211633679042,0.20692521119673,-2.97311105844005,0.00294797763670352,0.00425492329794379
"pbpX_2",18862.6848315595,-0.607065056768421,0.105298126417765,-5.76520283333363,8.15596917311603e-09,1.61697421215451e-08
"rmlB",29615.4633127945,-0.600342182366143,0.0925734579487527,-6.48503572912317,8.87107601742702e-11,1.90077429606242e-10
"tagO",4317.69818803064,-0.600307492610749,0.150221608140768,-3.99614609403076,6.4382011211446e-05,0.000105124268562689
"lolD",30.1923779283878,-0.599280305301746,0.744079547474909,-0.805398169235332,0.420589947883783,0.475553406982232
"gatC_2",4323.35760782148,-0.596888206686402,0.139284363135691,-4.28539279822039,1.82416595308235e-05,3.0861553637695e-05
"rpiA",4340.42715754685,-0.595388284451455,0.110113129516254,-5.40705987621183,6.40677300984124e-08,1.20562442454696e-07
"yddE",273.836369103877,-0.595204694421177,0.258849302950998,-2.29942552533686,0.0214807878835605,0.0289318225978243
"mhqA",191.809185076487,-0.592849808483018,0.322381369870671,-1.83897043653872,0.0659195344988957,0.0840896625979503
"yugI_2",1395.12224183559,-0.591600001714695,0.142737273443833,-4.14467775263684,3.40291907703539e-05,5.65495529294399e-05
"maf",3618.39853251101,-0.589746140916211,0.123883215503477,-4.76050075483923,1.9311321207816e-06,3.43504171651878e-06
"coiA",877.907443876636,-0.587085907141087,0.164985802620728,-3.55840258868025,0.000373117117935331,0.000576701409468978
"mutS2_1",3035.0362549541,-0.586388852043223,0.117878342312494,-4.97452577411307,6.54075617533795e-07,1.19140547267025e-06
"ugd",2012.62310910036,-0.578943765040673,0.152462232412696,-3.79729298121219,0.000146284855094769,0.000233352193698269
"wbbL",4793.01851972544,-0.578645647754136,0.126228548008386,-4.58411078067455,4.55922485002188e-06,7.90662958740178e-06
"rnz",3166.50327816627,-0.577685063240203,0.111476007062413,-5.1821470688017,2.19346148734467e-07,4.06991921661156e-07
"dnaX_2",12654.9712185925,-0.577276302894365,0.0937332517784322,-6.15871413763536,7.33379695944991e-10,1.50845022731838e-09
"pgk",102256.780779746,-0.568807581326581,0.086930670231442,-6.54323243812802,6.02031476311922e-11,1.30045333824773e-10
"yjlD",9181.52076311007,-0.568624119426841,0.0962558444303527,-5.90742435217299,3.47497810219014e-09,7.04734412571554e-09
"degA_3",4123.28709713456,-0.567784801354791,0.118197462864665,-4.80369703032371,1.5576246407734e-06,2.78309587891275e-06
"bacC",3105.56313286431,-0.566535454217992,0.119203535883077,-4.75267323255989,2.007446434452e-06,3.56680214692812e-06
"corA_1",1343.77214572121,-0.563588864175755,0.1440337364062,-3.91289484143031,9.11962546301825e-05,0.000147545159930133
"plsY",3428.3409461495,-0.554203579602556,0.110966165653186,-4.99434738814592,5.90350521069476e-07,1.07779590543877e-06
"rnmV",1949.54955823995,-0.553407481351915,0.124916356967694,-4.43022430997599,9.41351211953427e-06,1.61490423429941e-05
"rimM",1873.35447967792,-0.543969695016717,0.165908100840896,-3.27874101541538,0.00104271281679181,0.00155140075171267
"yjbK",1299.54738085125,-0.542572994073333,0.140129384585523,-3.87194303092221,0.000107971191265562,0.000173801958033139
"recF",10855.9705259279,-0.541972311355943,0.0970927582628193,-5.58200550744356,2.37760847095631e-08,4.58806386153024e-08
"mntH",6658.7632842794,-0.54119839836111,0.13484648879347,-4.0134407888811,5.98400183126686e-05,9.78083256198854e-05
"treP_3",585.204534437152,-0.539686879034829,0.18622471999534,-2.89804102832498,0.00375501464167736,0.00537588427117838
"gyrA",58748.8298608879,-0.537510570258247,0.0952415055842832,-5.64365889599027,1.66473741106969e-08,3.23992904452682e-08
"ppm1",5731.71992944416,-0.532400120658285,0.112547083329364,-4.73046572962038,2.24005340933348e-06,3.96240558628767e-06
"rbn_2",102.116456127315,-0.531302726296246,0.404695587310997,-1.31284536564011,0.189235059848969,0.229620590914298
"suhB",2179.94764565519,-0.523916346594508,0.134277978693537,-3.90172946965672,9.55078633016469e-05,0.000154363978046926
"bin3_1",157.163053874339,-0.522195642653804,0.334192274084156,-1.56256048732684,0.118156008182994,0.146157237783471
"recQ_2",4903.98188948988,-0.519653060153082,0.102145173300544,-5.08739711688673,3.6301119778545e-07,6.6810847037507e-07
"wbgU_1",18237.8917867137,-0.518868417201011,0.099509496839965,-5.214260283473,1.84552185629936e-07,3.43634011137845e-07
"comEA",98.2017429049396,-0.517150086423489,0.414877383946594,-1.24651308177854,0.212576089575698,0.255027230297295
"sbcC",9949.59690049219,-0.516178185795002,0.0948870906754917,-5.43992003675506,5.33044909538003e-08,1.00665183390807e-07
"glmU",21103.5839094143,-0.512065448019788,0.0943667303907792,-5.42633453442002,5.75231009096101e-08,1.08503289867416e-07
"ywqD",2306.42278650072,-0.511263634217301,0.128494372647109,-3.9788795702471,6.92408005661132e-05,0.000112941961579152
"ypdA_1",390.649628920649,-0.504854912084302,0.22361635606772,-2.25768329724241,0.0239654112987988,0.032115264972801
"rsmE",1946.6585968101,-0.502759014046515,0.127681331431322,-3.93760785864722,8.22979429640283e-05,0.000133555887052735
"rpe_2",1346.94962349059,-0.500652353132589,0.151514505162608,-3.3043196266607,0.000952072186585978,0.0014245290611324
"ftsA",42457.9789163701,-0.49842360941106,0.0903719188748062,-5.5152487146094,3.48287055920619e-08,6.64835723052309e-08
"fabG_3",23.2344901813149,-0.49773294451058,0.860333207317033,-0.578535084171365,0.562902917712973,0.616328366574314
"rpmF_2",6021.10698609621,-0.497003034432148,0.113486463161206,-4.37940368029763,1.19004506227447e-05,2.0306020783933e-05
"fmt",6397.02818072666,-0.496413925259556,0.101306272020305,-4.90013022254002,9.57731540475089e-07,1.73065676780516e-06
"ptsI",153617.380919888,-0.495926154606545,0.0865247505098679,-5.73161033905537,9.94816012602344e-09,1.96008303473135e-08
"xerS_2",1299.61307110536,-0.494759583527165,0.148411877269986,-3.33369264393249,0.000857013015487331,0.0012871365289206
"tyrS1",16132.1076999504,-0.492588009883464,0.0926126684481646,-5.31879728915452,1.04455433946402e-07,1.95179637139286e-07
"metG",30577.3519151018,-0.489672431375597,0.0880713538809508,-5.55995121907068,2.69850063281583e-08,5.18216285578142e-08
"prmA",1993.00225719641,-0.488099112733262,0.127330426473457,-3.83332661526119,0.000126421917815664,0.000202886787462235
"gmuE_2",481.943016448483,-0.487212323983513,0.205134055271556,-2.37509234309507,0.0175445603310846,0.0238725983308433
"murG",5533.51573678965,-0.479258994874649,0.11250662686123,-4.2598290273673,2.0458333494422e-05,3.45383530467867e-05
"ychF",16738.1616823819,-0.479027868966273,0.0929530480719728,-5.15343906307801,2.55752206795315e-07,4.73990120160816e-07
"cobB",1522.22195558097,-0.478979844905796,0.133605874232744,-3.58502085074048,0.000337051276215714,0.000524009405991618
"mprF_2",4239.44552974674,-0.473504008686072,0.110196377751481,-4.29691082726816,1.73194826284413e-05,2.93638086735662e-05
"rpmB",11076.1151217503,-0.466707654941253,0.124526452260082,-3.74785956293448,0.000178350060993515,0.000283366563973729
"asnS",14050.5089151316,-0.465582344316399,0.0964242859971573,-4.82847593323247,1.37581957723111e-06,2.46378488970971e-06
"map",13116.794958201,-0.463866225883649,0.091611331410767,-5.06341539567594,4.1181118434732e-07,7.55303462535638e-07
"hxlB",700.09237860521,-0.460815211484922,0.191110052586826,-2.41125574111578,0.0158976965898988,0.0217432413841227
"pelX",201.438882743514,-0.458607850944259,0.300188109115306,-1.52773490027915,0.126578371220457,0.156090446927163
"rnhA",174.005689575509,-0.458223432036672,0.334105827490983,-1.37149188769848,0.170221670662559,0.207498391803059
"gpmA_2",2025.13629967331,-0.457680079968796,0.127846434060423,-3.5799205768421,0.000343698656196171,0.000532783116518309
"gabR",145.49973859846,-0.454233162218136,0.352881629031046,-1.28721113497856,0.198020707207304,0.239368994589239
"rasP",7993.10860980135,-0.446172229832163,0.108997080570515,-4.09343284697901,4.25033212577831e-05,7.01194688522183e-05
"prs",14714.6394938848,-0.444377267338638,0.0965532331614222,-4.60240690848444,4.17636249252408e-06,7.2664143039326e-06
"arcA",10817.1414387316,-0.442790099503522,0.103425559431453,-4.28124442292224,1.85851087430723e-05,3.14092283640882e-05
"agaSK_2",251.153522305856,-0.440523671270707,0.285377753523455,-1.54365105840144,0.122672888667994,0.151391657953059
"yidA_3",3187.82578607034,-0.439444989201846,0.120554019338131,-3.64521225932159,0.000267171196704133,0.000419878129469872
"stp",11211.617752139,-0.43890183481675,0.0946364941142066,-4.63776515523797,3.52196633358253e-06,6.16150593743229e-06
"murE",6117.55682988407,-0.433609361527159,0.108034483356765,-4.01361998553035,5.97945854966358e-05,9.78083256198854e-05
"cvfB",4076.44028540078,-0.433327333118304,0.118997441167406,-3.64148446275157,0.000271070487621218,0.000425586012123253
"ywrO",1010.13223594083,-0.43242984661304,0.157597171076046,-2.74389345735386,0.00607152398615698,0.00861485399818353
"ettA_2",7594.90277560107,-0.432131018527298,0.0993524087046826,-4.34947701984533,1.36462582367875e-05,2.32351263240274e-05
"thiI",6916.06011236452,-0.430374784531716,0.10288519807739,-4.18305832689351,2.87613563366043e-05,4.78954804266465e-05
"araB",49.6305016922976,-0.428795838323526,0.572388910534155,-0.749133727841394,0.453776608158289,0.508383082468681
"yfiC",742.047793337484,-0.427859033396592,0.170859899676159,-2.50415126198446,0.0122745544876374,0.0169774897865497
"lepA",11767.5139378347,-0.426220286594021,0.0925755849901837,-4.60402477218173,4.14403138188034e-06,7.21805028441301e-06
"rihB",14189.2874198516,-0.425067802325455,0.122093354023172,-3.48149828241086,0.000498616979316336,0.00076107212950298
"hepT",3081.31345515857,-0.424545255011833,0.12541008755506,-3.38525602914871,0.000711118925369186,0.0010740999328157
"parC",29062.7379831125,-0.419924776248599,0.0893450803886718,-4.70003244075476,2.60120165546711e-06,4.58595020543039e-06
"dinG_2",5140.27953576313,-0.418542904597597,0.102169412509339,-4.09655780842763,4.19338808138936e-05,6.92518031698326e-05
